timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY,pupil_area_left,pupil_area_right
1719823265.801906,1863,1793.3434343434344,1515.111111111111,1778.5,1515.3541666666667,1785.3260650634766,1498.2878723144531,1247.138888888889,1527.0555555555557,1231.9,1526.85,1236.6845703125,1508.8657455444336,4114.020379342455,4852.630171431841
1719823265.8167276,1864,1793.4040404040404,1515.3434343434344,1778.4313725490197,1515.4313725490197,1785.1336135864258,1498.1058502197266,1246.8198198198197,1526.990990990991,1231.927536231884,1527.0289855072465,1236.6975173950195,1508.9325408935547,4230.774437813882,5028.09288943957
1719823265.8448317,1865,1793.2685185185185,1515.2777777777778,1778.1666666666667,1515.4444444444443,1785.0197982788086,1498.670883178711,1246.5811965811963,1527.162393162393,1231.920634920635,1527.4444444444443,1236.495216369629,1508.8715744018557,4241.068414566647,5124.741874965323
1719823265.8791797,1866,1793.137254901961,1515.2941176470588,1778.1666666666667,1515.4444444444443,1785.1061401367188,1498.7880935668943,1246.4414414414414,1526.954954954955,1231.3684210526317,1527.3859649122808,1236.008903503418,1508.5644989013672,4148.664043892632,5048.144163472714
1719823265.9140744,1867,1793.1555555555556,1515.0,1778.3333333333333,1515.2564102564102,1784.6907196044922,1497.7648544311523,1246.4414414414414,1526.954954954955,1231.7301587301588,1527.1746031746031,1236.0554580688477,1508.8223571777344,3980.336219727263,4951.98667126018
1719823265.926486,1868,1793.1919191919192,1515.050505050505,1778.2083333333333,1515.1666666666667,1784.9051208496094,1499.287712097168,1246.4188034188037,1526.837606837607,1231.7333333333331,1526.85,1236.0868682861328,1508.2634887695312,4469.243015784327,4938.47161756278
1719823265.946997,1869,1793.1555555555556,1515.0,1778.2666666666669,1514.85,1784.7279586791992,1498.669464111328,1246.5225225225224,1526.7747747747749,1231.571428571429,1526.7777777777778,1235.9941940307615,1508.5534744262695,5006.286802343921,5309.469349187086
1719823265.972438,1870,1793.057471264368,1514.942528735632,1778.2156862745098,1514.627450980392,1784.8539505004885,1498.5081100463867,1246.4188034188037,1526.837606837607,1231.4444444444443,1526.5555555555557,1235.9188079833984,1508.3987655639648,4306.180794396748,5018.638094316008
1719823265.982852,1871,1793.1555555555556,1515.0,1778.5,1514.6458333333333,1784.7935104370115,1498.0242004394531,1246.4954954954956,1526.7477477477478,1231.4927536231885,1526.7971014492753,1235.9242630004885,1508.8304977416992,4274.138331212226,4987.627427191717
1719823266.0015254,1872,1793.1555555555556,1515.0,1778.2666666666669,1514.85,1785.4342041015625,1498.6243209838867,1246.4188034188037,1526.837606837607,1231.6666666666667,1527.0,1236.200538635254,1508.3057479858398,4725.30828843951,4845.167606686681
1719823266.023891,1873,1793.25,1515.0,1778.5,1514.6458333333333,1785.0627212524414,1497.8641204833984,1246.4188034188037,1526.837606837607,1231.6666666666667,1526.7777777777778,1236.1147537231443,1508.5621185302734,4036.803543035945,4787.581282082807
1719823266.0453558,1874,1793.3823529411766,1515.0588235294117,1778.5,1514.6458333333333,1784.852928161621,1498.2195358276367,1246.4414414414414,1526.954954954955,1231.6333333333332,1526.85,1236.1699600219729,1508.3077697753906,4193.470999490686,4823.173788294745
1719823266.0685828,1875,1793.3823529411766,1515.0588235294117,1778.5,1514.6458333333333,1784.9158782958984,1498.5878295898438,1246.4188034188037,1526.837606837607,1231.6666666666667,1526.7777777777778,1236.2296676635742,1507.8551864624023,4225.59684244879,4834.260705270755
1719823266.090272,1876,1793.3823529411766,1515.0588235294117,1778.5,1514.6458333333333,1784.9920043945312,1497.9659881591797,1246.578947368421,1526.6052631578948,1231.6315789473683,1526.6140350877192,1236.4256057739258,1508.2669525146484,4117.625403993517,4852.018810208248
1719823266.113965,1877,1793.25,1515.0,1778.5,1514.6458333333333,1785.9622039794922,1497.6707916259766,1246.4188034188037,1526.837606837607,1231.6315789473683,1526.6140350877192,1236.2644958496094,1508.249641418457,4725.22400405595,5046.8650266975455
1719823266.133827,1878,1793.1919191919192,1514.8080808080808,1778.5,1514.6458333333333,1785.259651184082,1498.1139907836914,1246.4188034188037,1526.837606837607,1231.079365079365,1526.5555555555557,1235.8430557250977,1508.6715698242188,4254.33142064987,5095.854118506268
1719823266.1563485,1879,1793.3238095238096,1514.7619047619048,1778.5,1514.6458333333333,1785.1756286621094,1497.8217391967771,1246.4188034188037,1526.837606837607,1231.2456140350878,1526.6140350877192,1235.9641647338867,1508.8030242919922,4217.503541789074,5254.03770097843
